coin,market cap,fd market cap,price,avail coins,total coins,traded volume
Bitcoin,632.523B,709.800B,33800.00,18.714M,21.000M,74.076B
Ethereum,240.480B,240.480B,2073.18,115.996M,115.996M,53.025B
Tether,59.618B,61.666B,1.00,59.434B,61.476B,156.403B
Cardano,41.480B,58.425B,1.30,31.948B,45.000B,8.214B
Dogecoin,39.372B,39.372B,0.30,129.722B,129.722B,7.044B
Binance Coin,38.669B,42.978B,252.02,153.433M,170.533M,4.776B
XRP,35.648B,77.269B,0.77,46.135B,100.000B,9.699B
Internet Computer,16.753B,63.420B,135.16,123.950M,469.214M,591.904M
Polkadot,16.279B,18.625B,17.32,940.119M,1.076B,5.597B
USD Coin,14.379B,14.379B,1.00,14.380B,14.380B,4.911B
Bitcoin Cash,10.083B,11.297B,537.93,18.744M,21.000M,5.961B
Uniswap,9.389B,16.599B,16.60,565.641M,1.000B,1.232B
Litecoin,9.318B,11.726B,139.60,66.752M,84.000M,6.485B
ChainLink,8.344B,19.494B,19.49,428.010M,1.000B,3.239B
Stellar,8.014B,17.341B,0.35,23.107B,50.002B,1.993B
HEX,6.895B,6.976B,0.04,173.411B,175.453B,23.973M
Sola Token,6.677B,12.112B,24.49,272.637M,494.519M,1.807B
Matic Network,6.308B,10.234B,1.02,6.164B,10.000B,2.915B
Wrapped Bitcoin,6.156B,6.156B,33867.60,181.763K,181.763K,492.662M
Ethereum Classic,5.847B,10.591B,50.27,116.313M,210.700M,6.008B
Theta Token,5.698B,5.698B,5.70,1.000B,1.000B,708.349M
VeChain,5.435B,7.328B,0.08,64.316B,86.713B,1.775B
Klaytn,4.962B,21.278B,2.01,2.466B,10.577B,112.241M
Filecoin,4.610B,4.610B,62.77,73.442M,73.442M,1.656B
TRON,4.408B,6.203B,0.06,71.660B,100.851B,2.215B
Dai,4.236B,4.236B,1.00,4.227B,4.227B,1.419B
EOS,3.972B,4.289B,4.16,953.633M,1.030B,3.339B
Monero,3.893B,3.893B,217.29,17.916M,17.916M,666.275M
Aave,3.556B,4.459B,278.71,12.760M,16.000M,1.091B
SHIBA INU,3.200B,8.106B,0.00,394796.000B,1000000.000B,1.830B
NEO,2.954B,4.188B,41.88,70.539M,100.000M,1.038B
Bitcoin SV,2.746B,3.077B,146.51,18.741M,21.000M,1.968B
Maker,2.636B,2.671B,2656.00,992.477K,1.006M,561.539M
Tezos,2.512B,2.512B,2.86,876.936M,876.936M,284.943M
FTX Token,2.490B,8.951B,26.39,94.347M,339.229M,283.874M
UNUS SED LEO,2.453B,2.533B,2.57,953.954M,985.240M,4.569M
